ID_INSTITUTO,NOMBRE,DIRECCION,CODPOSTAL,ID_PAQUETE
482,Al-Yussana,"C/ Zenobia Camprubí, 1",14900,2
483,Santo Tomás de Aquino,"C/ Enrique Gastardi, s/n",14150,3
484,Poeta Molleja,"C/ Juan Parejo, s/n",14640,1
485,Divina Pastora,"C/ San Roque, 19",14640,2
486,Virgen de Luna,"C/ Pozoblanco, 65",14440,3
487,San Miguel,"C/ San Antonio, 2",14440,1
488,Monte Albo,"C/ Montealbo, 12",14548,2
489,Virgen de la Cabeza,"C/ Virgen de la Cabeza, 60",14800,3
490,El Encinar,"C/ Músico Guerrero, 19",14012,1
491,Vicente Aleixandre,"C/ Conde de la Cortina, 26",14550,2
492,Blas Infante,"Plaza Platero Pedro de Bares, 31 A",14007,3
493,María Moreno,"C/ Angosta, s/n",14440,1
494,El Prado,"Avda. Blas Infante, 1",14900,2
495,Averroes,"C/ La Ladera, 7",14007,3
496,Andalucía,"Avda. de Andalucía, s/n",14730,1
497,Juan de Aréjula,"C/ Montemayor, 11",14900,2
498,Los Ángeles,"C/ Francia, s/n",14015,3
499,Antonio María Calero,"Avda. Marcos Redondo, s/n",14400,1
500,Joaquín Tena Artigas,"Ctra. de Madrid, s/n",14610,2
